word,decade,count,appear,topic,ps_articles,ps_words,t20_count,t20_appear,t20_topic,t20_articles,t20_words
animals,1980s,247,58,4,584,3177602,3673,824,73,6430,46072214
animals,1990s,470,85,8,643,4529684,3528,906,71,6242,52955592
animals,2000s,490,121,12,868,7141270,3969,1063,77,7266,67070891
animals,2010s,1409,261,35,1678,14295950,6295,1289,113,8647,84731684
anonymous,1980s,24,19,0,584,3177602,658,524,0,6430,46072214
anonymous,1990s,165,125,0,643,4529684,1986,1508,3,6242,52955592
anonymous,2000s,484,317,0,868,7141270,3946,2506,7,7266,67070891
anonymous,2010s,1670,865,1,1678,14295950,8994,4619,17,8647,84731684
another,1980s,2216,491,46,584,3177602,29602,5577,742,6430,46072214
another,1990s,3128,588,90,643,4529684,32095,5581,940,6242,52955592
another,2000s,4726,819,128,868,7141270,39792,6561,1182,7266,67070891
another,2010s,8825,1569,228,1678,14295950,48768,8035,1426,8647,84731684
answer,1980s,1270,363,23,584,3177602,15625,4200,266,6430,46072214
answer,1990s,1876,460,30,643,4529684,16911,4272,304,6242,52955592
answer,2000s,2690,647,52,868,7141270,21330,5059,390,7266,67070891
answer,2010s,5684,1232,118,1678,14295950,28238,6215,584,8647,84731684
answers,1980s,246,120,2,584,3177602,3610,1593,43,6430,46072214
answers,1990s,423,175,7,643,4529684,4005,1713,45,6242,52955592
answers,2000s,485,235,6,868,7141270,4888,2052,63,7266,67070891
answers,2010s,1480,571,17,1678,14295950,7366,2718,101,8647,84731684
antecedent,1980s,359,98,6,584,3177602,4014,1086,88,6430,46072214
antecedent,1990s,509,135,13,643,4529684,4825,1204,99,6242,52955592
antecedent,2000s,855,195,18,868,7141270,5676,1447,116,7266,67070891
antecedent,2010s,1569,396,33,1678,14295950,7483,1744,168,8647,84731684
anyone,1980s,409,210,2,584,3177602,5230,2493,28,6430,46072214
anyone,1990s,522,262,2,643,4529684,4879,2373,24,6242,52955592
anyone,2000s,687,339,4,868,7141270,5547,2638,34,7266,67070891
anyone,2010s,1323,669,5,1678,14295950,6288,3029,38,8647,84731684
anything,1980s,855,365,2,584,3177602,10896,3910,104,6430,46072214
anything,1990s,1277,453,9,643,4529684,11387,3966,96,6242,52955592
anything,2000s,1954,629,21,868,7141270,14016,4694,149,7266,67070891
anything,2010s,3504,1191,38,1678,14295950,16008,5590,163,8647,84731684
apparent,1980s,355,183,1,584,3177602,4607,2308,29,6430,46072214
apparent,1990s,529,273,3,643,4529684,5124,2446,31,6242,52955592
apparent,2000s,810,359,7,868,7141270,6395,2844,55,7266,67070891
apparent,2010s,1764,649,16,1678,14295950,7928,3257,80,8647,84731684
apparently,1980s,346,194,0,584,3177602,4247,2260,14,6430,46072214
apparently,1990s,453,251,1,643,4529684,4643,2398,21,6242,52955592
apparently,2000s,600,299,5,868,7141270,4952,2403,30,7266,67070891
apparently,2010s,859,480,3,1678,14295950,4483,2429,20,8647,84731684
appeal,1980s,529,245,3,584,3177602,6971,2606,86,6430,46072214
appeal,1990s,1196,341,21,643,4529684,9757,3083,152,6242,52955592
appeal,2000s,1808,535,27,868,7141270,12943,3830,213,7266,67070891
appeal,2010s,3908,1081,72,1678,14295950,16796,4839,288,8647,84731684
appealing,1980s,161,107,0,584,3177602,1609,1107,1,6430,46072214
appealing,1990s,318,189,0,643,4529684,2393,1530,0,6242,52955592
appealing,2000s,501,277,0,868,7141270,3617,2026,11,7266,67070891
appealing,2010s,1519,676,6,1678,14295950,5977,2953,34,8647,84731684
appeals,1980s,135,91,0,584,3177602,1550,973,3,6430,46072214
appeals,1990s,244,141,1,643,4529684,2284,1279,11,6242,52955592
appeals,2000s,337,224,0,868,7141270,2923,1643,9,7266,67070891
appeals,2010s,1070,534,4,1678,14295950,4525,2304,20,8647,84731684
appear,1980s,638,284,5,584,3177602,8575,3345,83,6430,46072214
appear,1990s,915,355,8,643,4529684,9084,3429,89,6242,52955592
appear,2000s,1377,497,14,868,7141270,11457,4025,141,7266,67070891
appear,2010s,2450,895,22,1678,14295950,12900,4680,137,8647,84731684
appearance,1980s,212,96,2,584,3177602,2703,1294,30,6430,46072214
appearance,1990s,419,138,5,643,4529684,3018,1325,28,6242,52955592
appearance,2000s,520,192,8,868,7141270,4247,1568,70,7266,67070891
appearance,2010s,1234,331,24,1678,14295950,5123,1597,84,8647,84731684
appearances,1980s,82,51,0,584,3177602,1714,661,30,6430,46072214
appearances,1990s,356,78,6,643,4529684,1765,710,30,6242,52955592
appearances,2000s,260,122,3,868,7141270,2876,973,46,7266,67070891
appearances,2010s,992,256,18,1678,14295950,3825,1082,58,8647,84731684
appears,1980s,770,306,8,584,3177602,8642,3355,73,6430,46072214
appears,1990s,942,368,9,643,4529684,9231,3436,90,6242,52955592
appears,2000s,1416,476,17,868,7141270,11904,3992,147,7266,67070891
appears,2010s,2736,937,29,1678,14295950,13499,4726,174,8647,84731684
application,1980s,426,173,3,584,3177602,6476,2465,84,6430,46072214
application,1990s,559,215,7,643,4529684,6907,2469,107,6242,52955592
application,2000s,826,286,10,868,7141270,8246,2809,136,7266,67070891
application,2010s,1419,562,13,1678,14295950,9502,3305,143,8647,84731684
applied,1980s,343,170,2,584,3177602,5668,2445,45,6430,46072214
applied,1990s,423,234,2,643,4529684,5846,2591,44,6242,52955592
applied,2000s,682,339,4,868,7141270,7577,3165,59,7266,67070891
